Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,232.972,2.803
,,233.967,2.803
,,234.963,2.803
,,235.959,2.803
,,236.954,2.803
,,237.950,2.803
,,238.945,2.803
,,239.941,2.803
,,240.937,2.803
,,241.932,2.803
,,242.928,2.803
,,243.923,2.803
,,244.919,2.803
,,245.915,2.803
,,246.910,2.803
,,247.906,2.803
,,248.902,2.803
,,249.897,2.803
,,250.893,2.803
,,251.888,2.803
,,252.884,2.803
,,253.880,2.803
,,254.875,2.803
,,255.871,2.803
,,256.866,2.803
,,257.862,2.803
,,258.858,2.803
,,259.853,2.803
,,260.849,2.803
,,261.844,2.803
,,262.840,2.803
,,263.836,2.803
,,264.831,2.803
,,265.827,2.803
,,266.822,2.803
,,267.818,2.803
,,268.814,2.803
,,269.809,2.803
,,270.805,2.803
,,271.800,2.803
,,272.796,2.803
,,273.792,2.803
,,274.787,2.803
,,275.783,2.803
,,276.779,2.803
,,277.774,2.803
,,278.770,2.803
,,279.765,2.803
,,280.761,2.803
,,281.757,2.803
,,282.752,2.803
,,283.748,2.803
,,284.743,2.803
,,285.739,2.803
,,286.735,2.803
,,287.730,2.803
,,288.726,2.803
,,289.721,2.803
,,290.717,2.803
,,291.713,2.803
,,292.708,2.803
,,293.704,2.803
,,294.699,2.803
,,295.695,2.803
,,296.691,2.803
,,297.686,2.803
,,298.682,2.803
,,299.677,2.803
,,300.673,2.803
,,301.669,2.803
,,302.664,2.803
,,303.660,2.803
,,304.655,2.803
,,305.651,2.803
,,306.647,2.803
,,307.642,2.803
,,308.638,2.803
,,309.633,2.803
,,310.629,2.803
,,311.625,2.803
,,312.620,2.803
,,313.616,2.803
,,314.612,2.803
,,315.607,2.803
,,316.603,2.803
,,317.598,2.803
,,318.594,2.803
,,319.590,2.803
,,320.585,2.803
,,321.581,2.803
,,322.576,2.803
,,323.572,2.803
,,324.568,2.803
,,325.563,2.803
,,326.559,2.803
,,327.554,2.803
,,328.550,2.803
,,329.546,2.803
,,330.541,2.803
,,331.537,2.803
,,332.532,2.803
,,333.528,2.803
,,334.524,2.803
,,335.519,2.803
,,336.515,2.803
,,337.510,2.803
,,338.506,2.803
,,339.502,2.803
,,340.497,2.803
,,341.493,2.803
,,342.488,2.803
,,343.484,2.803
,,344.480,2.804
,,345.475,2.804
,,346.471,2.804
,,347.467,2.804
,,348.462,2.804
,,349.458,2.805
,,350.453,2.805
,,351.449,2.806
,,352.445,2.806
,,353.440,2.807
,,354.436,2.807
,,355.431,2.808
,,356.427,2.809
,,357.423,2.810
,,358.418,2.811
,,359.414,2.812
,,360.409,2.814
,,361.405,2.816
,,362.401,2.818
,,363.396,2.820
,,364.392,2.823
,,365.387,2.826
,,366.383,2.829
,,367.379,2.833
,,368.374,2.838
,,369.370,2.843
,,370.365,2.848
,,371.361,2.855
,,372.357,2.863
,,373.352,2.871
,,374.348,2.881
,,375.344,2.892
,,376.339,2.904
,,377.335,2.918
,,378.330,2.933
,,379.326,2.951
,,380.322,2.971
,,381.317,2.993
,,382.313,3.018
,,383.308,3.046
,,384.304,3.078
,,385.300,3.113
,,386.295,3.152
,,387.291,3.195
,,388.286,3.244
,,389.282,3.298
,,390.278,3.359
,,391.273,3.426
,,392.269,3.500
,,393.264,3.582
,,394.260,3.673
,,395.256,3.774
,,396.251,3.885
,,397.247,4.008
,,398.242,4.143
,,399.238,4.292
,,400.234,4.456
,,401.229,4.635
,,402.225,4.832
,,403.220,5.048
,,404.216,5.284
,,405.212,5.542
,,406.207,5.824
,,407.203,6.131
,,408.198,6.465
,,409.194,6.829
,,410.190,7.224
,,411.185,7.653
,,412.181,8.117
,,413.177,8.621
,,414.172,9.165
,,415.168,9.752
,,416.163,10.386
,,417.159,11.069
,,418.155,11.804
,,419.150,12.594
,,420.146,13.442
,,421.141,14.351
,,422.137,15.325
,,423.133,16.366
,,424.128,17.479
,,425.124,18.666
,,426.119,19.930
,,427.115,21.276
,,428.111,22.707
,,429.106,24.226
,,430.102,25.837
,,431.097,27.543
,,432.093,29.346
,,433.089,31.252
,,434.084,33.261
,,435.080,35.379
,,436.075,37.606
,,437.071,39.947
,,438.067,42.403
,,439.062,44.977
,,440.058,47.671
,,441.053,50.487
,,442.049,53.426
,,443.045,56.489
,,444.040,59.677
,,445.036,62.991
,,446.032,66.431
,,447.027,69.996
,,448.023,73.686
,,449.018,77.500
,,450.014,81.436
,,451.010,85.492
,,452.005,89.665
,,453.001,93.952
,,453.996,98.350
,,454.992,102.854
,,455.988,107.460
,,456.983,112.162
,,457.979,116.955
,,458.974,121.832
,,459.970,126.787
,,460.966,131.811
,,461.961,136.897
,,462.957,142.036
,,463.952,147.219
,,464.948,152.437
,,465.944,157.680
,,466.939,162.937
,,467.935,168.198
,,468.930,173.451
,,469.926,178.685
,,470.922,183.888
,,471.917,189.047
,,472.913,194.152
,,473.909,199.189
,,474.904,204.145
,,475.900,209.009
,,476.895,213.767
,,477.891,218.406
,,478.887,222.915
,,479.882,227.281
,,480.878,231.491
,,481.873,235.535
,,482.869,239.399
,,483.865,243.074
,,484.860,246.548
,,485.856,249.811
,,486.851,252.853
,,487.847,255.666
,,488.843,258.240
,,489.838,260.567
,,490.834,262.641
,,491.829,264.455
,,492.825,266.003
,,493.821,267.281
,,494.816,268.284
,,495.812,269.009
,,496.807,269.454
,,497.803,269.618
,,498.799,269.500
,,499.794,269.101
,,500.790,268.421
,,501.785,267.463
,,502.781,266.230
,,503.777,264.726
,,504.772,262.955
,,505.768,260.923
,,506.763,258.636
,,507.759,256.102
,,508.755,253.328
,,509.750,250.323
,,510.746,247.095
,,511.742,243.655
,,512.737,240.012
,,513.733,236.178
,,514.728,232.163
,,515.724,227.979
,,516.720,223.637
,,517.715,219.151
,,518.711,214.532
,,519.706,209.792
,,520.702,204.945
,,521.698,200.003
,,522.693,194.979
,,523.689,189.884
,,524.684,184.733
,,525.680,179.536
,,526.676,174.306
,,527.671,169.056
,,528.667,163.795
,,529.662,158.537
,,530.658,153.291
,,531.654,148.068
,,532.649,142.879
,,533.645,137.732
,,534.640,132.637
,,535.636,127.602
,,536.632,122.636
,,537.627,117.745
,,538.623,112.938
,,539.618,108.221
,,540.614,103.599
,,541.610,99.078
,,542.605,94.662
,,543.601,90.357
,,544.596,86.165
,,545.592,82.090
,,546.588,78.134
,,547.583,74.300
,,548.579,70.590
,,549.575,67.004
,,550.570,63.544
,,551.566,60.209
,,552.561,57.000
,,553.557,53.917
,,554.553,50.958
,,555.548,48.122
,,556.544,45.409
,,557.539,42.815
,,558.535,40.340
,,559.531,37.980
,,560.526,35.734
,,561.522,33.599
,,562.517,31.572
,,563.513,29.650
,,564.509,27.830
,,565.504,26.109
,,566.500,24.483
,,567.495,22.949
,,568.491,21.504
,,569.487,20.144
,,570.482,18.866
,,571.478,17.667
,,572.474,16.543
,,573.469,15.490
,,574.465,14.505
,,575.460,13.586
,,576.456,12.728
,,577.452,11.929
,,578.447,11.185
,,579.443,10.494
,,580.438,9.852
,,581.434,9.257
,,582.430,8.706
,,583.425,8.197
,,584.421,7.726
,,585.416,7.291
,,586.412,6.891
,,587.408,6.522
,,588.403,6.183
,,589.399,5.872
,,590.394,5.586
,,591.390,5.324
,,592.386,5.085
,,593.381,4.866
,,594.377,4.666
,,595.372,4.484
,,596.368,4.318
,,597.364,4.167
,,598.359,4.029
,,599.355,3.905
,,600.350,3.791
,,601.346,3.689
,,602.342,3.596
,,603.337,3.513
,,604.333,3.437
,,605.328,3.369
,,606.324,3.308
,,607.320,3.253
,,608.315,3.203
,,609.311,3.159
,,610.307,3.119
,,611.302,3.083
,,612.298,3.051
,,613.293,3.023
,,614.289,2.997
,,615.285,2.974
,,616.280,2.954
,,617.276,2.936
,,618.271,2.920
,,619.267,2.906
,,620.263,2.894
,,621.258,2.882
,,622.254,2.873
,,623.249,2.864
,,624.245,2.856
,,625.241,2.850
,,626.236,2.844
,,627.232,2.838
,,628.227,2.834
,,629.223,2.830
,,630.219,2.826
,,631.214,2.823
,,632.210,2.820
,,633.205,2.818
,,634.201,2.816
,,635.197,2.814
,,636.192,2.813
,,637.188,2.811
,,638.183,2.810
,,639.179,2.809
,,640.175,2.808
,,641.170,2.807
,,642.166,2.807
,,643.161,2.806
,,644.157,2.806
,,645.153,2.805
,,646.148,2.805
,,647.144,2.805
,,648.140,2.804
,,649.135,2.804
,,650.131,2.804
,,651.126,2.804
,,652.122,2.803
,,653.118,2.803
,,654.113,2.803
,,655.109,2.803
,,656.104,2.803
,,657.100,2.803
,,658.096,2.803
,,659.091,2.803
,,660.087,2.803
,,661.082,2.803
,,662.078,2.803
,,663.074,2.803
,,664.069,2.803
,,665.065,2.803
,,666.060,2.803
,,667.056,2.803
,,668.052,2.803
,,669.047,2.803
,,670.043,2.803
,,671.039,2.803
,,672.034,2.803
,,673.030,2.803
,,674.025,2.803
,,675.021,2.803
,,676.017,2.803
,,677.012,2.803
,,678.008,2.803
,,679.003,2.803
,,679.999,2.803
,,680.995,2.803
,,681.990,2.803
,,682.986,2.803
,,683.981,2.803
,,684.977,2.803
,,685.973,2.803
,,686.968,2.803
,,687.964,2.803
,,688.959,2.803
,,689.955,2.803
,,690.951,2.803
,,691.946,2.803
,,692.942,2.803
,,693.937,2.803
,,694.933,2.803
,,695.929,2.803
,,696.924,2.803
,,697.920,2.803
,,698.915,2.803
,,699.911,2.803
,,700.907,2.803
,,701.902,2.803
,,702.898,2.803
,,703.893,2.803
,,704.889,2.803
,,705.885,2.803
,,706.880,2.803
,,707.876,2.803
,,708.872,2.803
,,709.867,2.803
,,710.863,2.803
,,711.858,2.803
,,712.854,2.803
,,713.850,2.803
,,714.845,2.803
,,715.841,2.803
,,716.836,2.803
,,717.832,2.803
,,718.828,2.803
,,719.823,2.803
,,720.819,2.803
,,721.814,2.803
,,722.810,2.803
,,723.806,2.803
,,724.801,2.803
,,725.797,2.803
,,726.792,2.803
,,727.788,2.803
,,728.784,2.803
,,729.779,2.803
,,730.775,2.803
,,731.770,2.803
,,732.766,2.803
,,733.762,2.803
,,734.757,2.803
,,735.753,2.803
,,736.748,2.803
,,737.744,2.803
,,738.740,2.803
,,739.735,2.803
,,740.731,2.803
,,741.727,2.803
,,742.722,2.803
,,743.718,2.803
,,744.713,2.803
,,745.709,2.803
,,746.705,2.803
,,747.700,2.803
,,748.696,2.803
,,749.691,2.803
,,750.687,2.803
,,751.683,2.803
,,752.678,2.803
,,753.674,2.803
,,754.669,2.803
,,755.665,2.803
,,756.661,2.803
,,757.656,2.803
,,758.652,2.803
,,759.647,2.803
,,760.643,2.803
,,761.639,2.803
,,762.634,2.803
,,763.630,2.803
,,764.625,2.803
,,765.621,2.803
,,766.617,2.803
,,767.612,2.803
,,768.608,2.803
,,769.604,2.803
,,770.599,2.803
