LECROYWP725Zi,55714,Waveform
Segments,1,SegmentSize,402
Segment,TrigTime,TimeSinceSegment1
#1,17-Jun-2022 16:18:06,0                 
Time,Ampl
4.447478e-08,-0.0140604
4.449978e-08,-0.0119103
4.452478e-08,-0.00927468
4.454978e-08,-0.006431
4.457478e-08,-0.00455833
4.459978e-08,-0.00386475
4.462478e-08,-0.0034486
4.464978e-08,-0.00254694
4.467478e-08,-0.00164529
4.469978e-08,0.000435458
4.472478e-08,0.0041808
4.474978e-08,0.00945202
4.477478e-08,0.0165265
4.479978e-08,0.0213123
4.482478e-08,0.0226301
4.484978e-08,0.0207574
4.487478e-08,0.0188154
4.489978e-08,0.0150007
4.492478e-08,0.0105617
4.494978e-08,0.00584539
4.497478e-08,0.0011984
4.499978e-08,-0.00407282
4.502478e-08,-0.00594549
4.504978e-08,-0.00400346
4.507478e-08,0.00112904
4.509978e-08,0.00640026
4.512478e-08,0.00820357
4.514978e-08,0.00515181
4.517478e-08,-0.00303245
4.519978e-08,-0.012049
4.522478e-08,-0.0172509
4.524978e-08,-0.0163492
4.527478e-08,-0.00955211
4.529978e-08,0.0011984
4.532478e-08,0.0116715
4.534978e-08,0.0184686
4.537478e-08,0.0190928
4.539978e-08,0.0161104
4.542478e-08,0.00917458
4.544978e-08,-0.000258123
4.547478e-08,-0.00726329
4.549978e-08,-0.0101763
4.552478e-08,-0.0112167
4.554978e-08,-0.0127426
4.557478e-08,-0.0157943
4.559978e-08,-0.016696
4.562478e-08,-0.0138523
4.564978e-08,-0.00913596
4.567478e-08,-0.0039341
4.569978e-08,-0.00102106
4.572478e-08,-0.000604914
4.574978e-08,-0.00185336
4.577478e-08,-0.00539062
4.579978e-08,-0.0116329
4.582478e-08,-0.0178751
4.584978e-08,-0.0218285
4.587478e-08,-0.0223834
4.589978e-08,-0.0203026
4.592478e-08,-0.0146153
4.594978e-08,-0.00539062
4.597478e-08,0.00542924
4.599978e-08,0.0134748
4.602478e-08,0.0149313
4.604978e-08,0.010215
4.607478e-08,0.00210005
4.609978e-08,-0.0047664
4.612478e-08,-0.0094134
4.614978e-08,-0.011078
4.617478e-08,-0.00955211
4.619978e-08,-0.0047664
4.622478e-08,0.00175326
4.624978e-08,0.00882779
4.627478e-08,0.0124344
4.629978e-08,0.0123651
4.632478e-08,0.00903587
4.634978e-08,0.00459695
4.637478e-08,0.000227384
4.639978e-08,-0.00372603
4.642478e-08,-0.00747137
4.644978e-08,-0.00698586
4.647478e-08,-0.00268566
4.649978e-08,0.00279363
4.652478e-08,0.0063309
4.654978e-08,0.00841164
4.657478e-08,0.00640026
4.659978e-08,0.00210005
4.662478e-08,-0.00275502
4.664978e-08,-0.00816495
4.667478e-08,-0.0125345
4.669978e-08,-0.0148927
4.672478e-08,-0.0129507
4.674978e-08,-0.00615356
4.677478e-08,0.000920965
4.679978e-08,0.008481
4.682478e-08,0.0143071
4.684978e-08,0.0165265
4.687478e-08,0.0120876
4.689978e-08,0.00244684
4.692478e-08,-0.00795688
4.694978e-08,-0.0160024
4.697478e-08,-0.0177364
4.699978e-08,-0.0162799
4.702478e-08,-0.0125345
4.704978e-08,-0.00511319
4.707478e-08,0.00515181
4.709978e-08,0.0120183
4.712478e-08,0.0142377
4.714978e-08,0.0120183
4.717478e-08,0.00723256
4.719978e-08,0.000574174
4.722478e-08,-0.00622292
4.724978e-08,-0.0108006
4.727478e-08,-0.013783
4.729978e-08,-0.0171121
4.732478e-08,-0.0200252
4.734978e-08,-0.0196784
4.737478e-08,-0.0156556
4.739978e-08,-0.00865046
4.742478e-08,-0.00102106
4.744978e-08,0.00210005
4.747478e-08,0.00293235
4.749978e-08,0.00223877
4.752478e-08,-0.0012985
4.754978e-08,-0.00761009
4.757478e-08,-0.0134362
4.759978e-08,-0.0173202
4.762478e-08,-0.0168347
4.764978e-08,-0.0170428
4.767478e-08,-0.0178057
4.769978e-08,-0.016696
4.772478e-08,-0.0134362
4.774978e-08,-0.00996826
4.777478e-08,-0.00504383
4.779978e-08,0.0046663
4.782478e-08,0.0273464
4.784978e-08,0.0720131
4.787478e-08,0.148099
4.789978e-08,0.261014
4.792478e-08,0.410619
4.794978e-08,0.585818
4.797478e-08,0.767051
4.799978e-08,0.931083
4.802478e-08,1.05426
4.804978e-08,1.11773
4.807478e-08,1.11162
4.809978e-08,1.03699
4.812478e-08,0.906183
4.814978e-08,0.739446
4.817478e-08,0.564386
4.819978e-08,0.404447
4.822478e-08,0.273152
4.824978e-08,0.17612
4.827478e-08,0.113489
4.829978e-08,0.0796424
4.832478e-08,0.061748
4.834978e-08,0.0469748
4.837478e-08,0.0242253
4.839978e-08,-0.0101763
4.842478e-08,-0.051167
4.844978e-08,-0.0952094
4.847478e-08,-0.134327
4.849978e-08,-0.158603
4.852478e-08,-0.159782
4.854978e-08,-0.131622
4.857478e-08,-0.0784247
4.859978e-08,-0.00698586
4.862478e-08,0.0723598
4.864978e-08,0.14796
4.867478e-08,0.210729
4.869978e-08,0.253176
4.872478e-08,0.270169
4.874978e-08,0.261916
4.877478e-08,0.23015
4.879978e-08,0.181183
4.882478e-08,0.121535
4.884978e-08,0.060569
4.887478e-08,0.0063309
4.889978e-08,-0.0341049
4.892478e-08,-0.0605303
4.894978e-08,-0.0749568
4.897478e-08,-0.0800893
4.899978e-08,-0.07461
4.902478e-08,-0.0600448
4.904978e-08,-0.0409713
4.907478e-08,-0.0212043
4.909978e-08,-0.00435025
4.912478e-08,0.00612282
4.914978e-08,0.0156249
4.917478e-08,0.0274851
4.919978e-08,0.0409406
4.922478e-08,0.0546735
4.924978e-08,0.0684758
4.927478e-08,0.0820006
4.929978e-08,0.0890752
4.932478e-08,0.0847749
4.934978e-08,0.067158
4.937478e-08,0.0394841
4.939978e-08,0.00674705
4.942478e-08,-0.0230076
4.944978e-08,-0.0454796
4.947478e-08,-0.0602529
4.949978e-08,-0.0671194
4.952478e-08,-0.0654548
4.954978e-08,-0.0566463
4.957478e-08,-0.0402778
4.959978e-08,-0.019609
4.962478e-08,0.0041808
4.964978e-08,0.0302595
4.967478e-08,0.0544654
4.969978e-08,0.0753422
4.972478e-08,0.0871331
4.974978e-08,0.0862315
4.977478e-08,0.0753422
4.979978e-08,0.058835
4.982478e-08,0.0405938
4.984978e-08,0.0227688
4.987478e-08,0.00695512
4.989978e-08,-0.00532127
4.992478e-08,-0.0140604
4.994978e-08,-0.0206494
4.997478e-08,-0.0257819
4.999978e-08,-0.0302902
5.002478e-08,-0.0346598
5.004978e-08,-0.0375034
5.007478e-08,-0.0361163
5.009978e-08,-0.0281401
5.012478e-08,-0.0148927
5.014978e-08,0.000158026
5.017478e-08,0.0147926
5.019978e-08,0.0271383
5.022478e-08,0.0356
5.024978e-08,0.0421891
5.027478e-08,0.0437843
5.029978e-08,0.0421197
5.032478e-08,0.0376114
5.034978e-08,0.0313692
5.037478e-08,0.0234624
5.039978e-08,0.0134054
5.042478e-08,0.00216941
5.044978e-08,-0.00830367
5.047478e-08,-0.0160718
5.049978e-08,-0.0203026
5.052478e-08,-0.021343
5.054978e-08,-0.0198171
5.057478e-08,-0.0151701
5.059978e-08,-0.0103844
5.062478e-08,-0.00719394
5.064978e-08,-0.00650036
5.067478e-08,-0.00511319
5.069978e-08,1.93093e-05
5.072478e-08,0.00730191
5.074978e-08,0.0145845
5.077478e-08,0.0185379
5.079978e-08,0.0196477
5.082478e-08,0.0194396
5.084978e-08,0.0190928
5.087478e-08,0.0186766
