Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,122.219,6.530
,,122.656,6.530
,,123.092,6.530
,,123.529,6.530
,,123.965,6.530
,,124.402,6.530
,,124.838,6.530
,,125.275,6.530
,,125.711,6.530
,,126.148,6.530
,,126.584,6.530
,,127.021,6.530
,,127.457,6.530
,,127.894,6.530
,,128.330,6.530
,,128.767,6.530
,,129.203,6.530
,,129.640,6.531
,,130.076,6.531
,,130.513,6.531
,,130.949,6.531
,,131.386,6.531
,,131.822,6.531
,,132.259,6.532
,,132.695,6.532
,,133.132,6.532
,,133.568,6.533
,,134.005,6.533
,,134.441,6.533
,,134.878,6.534
,,135.314,6.535
,,135.751,6.535
,,136.187,6.536
,,136.624,6.536
,,137.060,6.537
,,137.497,6.538
,,137.933,6.539
,,138.370,6.540
,,138.806,6.541
,,139.243,6.543
,,139.679,6.544
,,140.116,6.546
,,140.552,6.548
,,140.989,6.550
,,141.425,6.552
,,141.862,6.554
,,142.298,6.557
,,142.735,6.560
,,143.171,6.563
,,143.608,6.566
,,144.044,6.570
,,144.481,6.574
,,144.917,6.579
,,145.354,6.584
,,145.790,6.590
,,146.227,6.596
,,146.663,6.602
,,147.100,6.610
,,147.536,6.618
,,147.973,6.626
,,148.409,6.636
,,148.846,6.646
,,149.282,6.657
,,149.719,6.669
,,150.155,6.683
,,150.592,6.697
,,151.028,6.713
,,151.465,6.730
,,151.901,6.749
,,152.338,6.769
,,152.774,6.791
,,153.211,6.814
,,153.647,6.840
,,154.084,6.868
,,154.520,6.898
,,154.957,6.930
,,155.393,6.966
,,155.830,7.003
,,156.266,7.044
,,156.703,7.088
,,157.139,7.136
,,157.576,7.187
,,158.012,7.242
,,158.449,7.302
,,158.885,7.365
,,159.322,7.434
,,159.758,7.507
,,160.194,7.586
,,160.631,7.671
,,161.067,7.762
,,161.504,7.859
,,161.940,7.963
,,162.377,8.074
,,162.813,8.193
,,163.250,8.320
,,163.686,8.456
,,164.123,8.600
,,164.559,8.754
,,164.996,8.919
,,165.432,9.094
,,165.869,9.280
,,166.305,9.478
,,166.742,9.689
,,167.178,9.913
,,167.615,10.150
,,168.051,10.402
,,168.488,10.669
,,168.924,10.952
,,169.361,11.252
,,169.797,11.569
,,170.234,11.904
,,170.670,12.258
,,171.107,12.632
,,171.543,13.027
,,171.980,13.443
,,172.416,13.881
,,172.853,14.343
,,173.289,14.830
,,173.726,15.341
,,174.162,15.879
,,174.599,16.443
,,175.035,17.036
,,175.472,17.658
,,175.908,18.310
,,176.345,18.992
,,176.781,19.707
,,177.218,20.455
,,177.654,21.237
,,178.091,22.054
,,178.527,22.906
