Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
1097.501,0,319.693,2.095
1102.401,1,321.120,2.095
1107.300,2,322.547,2.095
1112.200,1,323.974,2.095
1117.099,2,325.401,2.095
1121.999,0,326.829,2.095
1126.899,3,328.256,2.095
1131.798,1,329.683,2.095
1136.698,1,331.110,2.095
1141.597,1,332.537,2.095
1146.497,1,333.965,2.095
1151.396,1,335.392,2.095
1156.296,3,336.819,2.095
1161.195,0,338.246,2.095
1166.095,1,339.673,2.095
1170.995,1,341.101,2.095
1175.894,2,342.528,2.095
1180.794,2,343.955,2.095
1185.693,1,345.382,2.095
1190.593,2,346.809,2.095
1195.492,2,348.237,2.095
1200.392,1,349.664,2.095
1205.292,1,351.091,2.095
1210.191,2,352.518,2.095
1215.091,2,353.945,2.095
1219.990,2,355.373,2.095
1224.890,0,356.800,2.095
1229.789,2,358.227,2.095
1234.689,2,359.654,2.095
1239.588,2,361.081,2.095
1244.488,0,362.509,2.095
1249.388,2,363.936,2.095
1254.287,0,365.363,2.095
1259.187,2,366.790,2.095
1264.086,1,368.217,2.095
1268.986,2,369.645,2.095
1273.885,2,371.072,2.095
1278.785,1,372.499,2.095
1283.684,1,373.926,2.095
1288.584,3,375.353,2.095
1293.484,0,376.781,2.095
1298.383,2,378.208,2.095
1303.283,1,379.635,2.095
1308.182,2,381.062,2.095
1313.082,0,382.489,2.095
1317.981,1,383.917,2.095
1322.881,1,385.344,2.095
1327.781,0,386.771,2.095
1332.680,0,388.198,2.095
1337.580,2,389.625,2.095
1342.479,2,391.053,2.095
1347.379,2,392.480,2.095
1352.278,2,393.907,2.095
1357.178,2,395.334,2.095
1362.077,3,396.761,2.095
1366.977,3,398.189,2.095
1371.877,2,399.616,2.095
1376.776,0,401.043,2.095
1381.676,1,402.470,2.095
1386.575,1,403.897,2.095
1391.475,1,405.324,2.095
1396.374,0,406.752,2.095
1401.274,1,408.179,2.095
1406.173,2,409.606,2.095
1411.073,3,411.033,2.095
1415.973,0,412.460,2.095
1420.872,1,413.888,2.095
1425.772,2,415.315,2.095
,,416.742,2.095
,,418.169,2.095
,,419.596,2.095
,,421.024,2.095
,,422.451,2.095
,,423.878,2.095
,,425.305,2.095
,,426.732,2.095
,,428.160,2.095
,,429.587,2.095
,,431.014,2.095
,,432.441,2.095
,,433.868,2.095
,,435.296,2.095
,,436.723,2.095
,,438.150,2.095
,,439.577,2.095
,,441.004,2.095
,,442.432,2.095
,,443.859,2.095
,,445.286,2.095
,,446.713,2.095
,,448.140,2.095
,,449.568,2.095
,,450.995,2.095
,,452.422,2.095
,,453.849,2.095
,,455.276,2.095
,,456.704,2.095
,,458.131,2.095
,,459.558,2.095
,,460.985,2.095
,,462.412,2.095
,,463.840,2.095
,,465.267,2.095
,,466.694,2.095
,,468.121,2.095
,,469.548,2.095
,,470.976,2.095
,,472.403,2.095
,,473.830,2.095
,,475.257,2.095
,,476.684,2.095
,,478.112,2.095
,,479.539,2.095
,,480.966,2.095
,,482.393,2.095
,,483.820,2.095
,,485.248,2.095
,,486.675,2.095
,,488.102,2.095
,,489.529,2.095
,,490.956,2.095
,,492.384,2.095
,,493.811,2.095
,,495.238,2.096
,,496.665,2.096
,,498.092,2.096
,,499.520,2.096
,,500.947,2.096
,,502.374,2.096
,,503.801,2.096
,,505.228,2.097
,,506.656,2.097
,,508.083,2.097
,,509.510,2.098
,,510.937,2.098
,,512.364,2.099
,,513.792,2.099
,,515.219,2.100
,,516.646,2.101
,,518.073,2.102
,,519.500,2.103
,,520.928,2.104
