Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,234.262,3.503
,,235.267,3.503
,,236.273,3.503
,,237.278,3.503
,,238.283,3.503
,,239.289,3.503
,,240.294,3.503
,,241.300,3.503
,,242.305,3.503
,,243.310,3.503
,,244.316,3.503
,,245.321,3.503
,,246.327,3.503
,,247.332,3.503
,,248.338,3.503
,,249.343,3.503
,,250.348,3.503
,,251.354,3.503
,,252.359,3.503
,,253.365,3.503
,,254.370,3.503
,,255.375,3.503
,,256.381,3.503
,,257.386,3.503
,,258.392,3.503
,,259.397,3.503
,,260.402,3.503
,,261.408,3.503
,,262.413,3.503
,,263.419,3.503
,,264.424,3.503
,,265.430,3.503
,,266.435,3.503
,,267.440,3.503
,,268.446,3.503
,,269.451,3.503
,,270.457,3.503
,,271.462,3.503
,,272.467,3.503
,,273.473,3.503
,,274.478,3.503
,,275.484,3.503
,,276.489,3.503
,,277.495,3.503
,,278.500,3.503
,,279.505,3.503
,,280.511,3.503
,,281.516,3.503
,,282.522,3.503
,,283.527,3.503
,,284.532,3.503
,,285.538,3.503
,,286.543,3.503
,,287.549,3.503
,,288.554,3.503
,,289.560,3.503
,,290.565,3.503
,,291.570,3.503
,,292.576,3.503
,,293.581,3.503
,,294.587,3.503
,,295.592,3.503
,,296.597,3.503
,,297.603,3.503
,,298.608,3.503
,,299.614,3.503
,,300.619,3.503
,,301.625,3.503
,,302.630,3.503
,,303.635,3.503
,,304.641,3.503
,,305.646,3.503
,,306.652,3.503
,,307.657,3.503
,,308.662,3.503
,,309.668,3.503
,,310.673,3.503
,,311.679,3.503
,,312.684,3.503
,,313.689,3.503
,,314.695,3.503
,,315.700,3.503
,,316.706,3.503
,,317.711,3.503
,,318.717,3.503
,,319.722,3.503
,,320.727,3.503
,,321.733,3.504
,,322.738,3.504
,,323.744,3.504
,,324.749,3.504
,,325.754,3.504
,,326.760,3.504
,,327.765,3.504
,,328.771,3.504
,,329.776,3.504
,,330.782,3.505
,,331.787,3.505
,,332.792,3.505
,,333.798,3.506
,,334.803,3.506
