Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,696.208,2.046
,,697.076,2.046
,,697.944,2.046
,,698.812,2.046
,,699.681,2.046
,,700.549,2.046
,,701.417,2.046
,,702.285,2.046
,,703.153,2.046
,,704.021,2.046
,,704.889,2.046
,,705.757,2.046
,,706.625,2.046
,,707.493,2.046
,,708.361,2.046
,,709.230,2.046
,,710.098,2.046
,,710.966,2.046
,,711.834,2.046
,,712.702,2.046
,,713.570,2.046
,,714.438,2.046
,,715.306,2.046
,,716.174,2.046
,,717.042,2.046
,,717.910,2.046
,,718.779,2.046
,,719.647,2.046
,,720.515,2.046
,,721.383,2.046
,,722.251,2.046
,,723.119,2.046
,,723.987,2.046
,,724.855,2.046
,,725.723,2.046
,,726.591,2.046
,,727.459,2.046
,,728.328,2.046
,,729.196,2.046
,,730.064,2.046
,,730.932,2.046
,,731.800,2.046
,,732.668,2.046
,,733.536,2.046
,,734.404,2.046
,,735.272,2.046
,,736.140,2.046
,,737.008,2.046
,,737.877,2.046
,,738.745,2.046
,,739.613,2.046
,,740.481,2.046
,,741.349,2.046
,,742.217,2.046
,,743.085,2.046
,,743.953,2.046
,,744.821,2.046
,,745.689,2.046
,,746.557,2.046
,,747.425,2.046
,,748.294,2.046
,,749.162,2.046
,,750.030,2.046
,,750.898,2.046
,,751.766,2.046
,,752.634,2.046
,,753.502,2.046
,,754.370,2.046
,,755.238,2.046
,,756.106,2.046
,,756.974,2.046
,,757.843,2.046
,,758.711,2.046
,,759.579,2.046
,,760.447,2.046
,,761.315,2.046
,,762.183,2.046
,,763.051,2.046
,,763.919,2.046
,,764.787,2.046
,,765.655,2.046
,,766.523,2.046
,,767.392,2.046
,,768.260,2.046
,,769.128,2.046
,,769.996,2.046
,,770.864,2.046
,,771.732,2.046
,,772.600,2.046
,,773.468,2.046
,,774.336,2.046
,,775.204,2.046
,,776.072,2.046
,,776.941,2.046
,,777.809,2.046
,,778.677,2.046
,,779.545,2.046
,,780.413,2.046
,,781.281,2.046
,,782.149,2.046
,,783.017,2.046
,,783.885,2.046
,,784.753,2.046
,,785.621,2.046
,,786.490,2.046
,,787.358,2.046
,,788.226,2.046
,,789.094,2.046
,,789.962,2.046
,,790.830,2.046
,,791.698,2.046
,,792.566,2.046
,,793.434,2.046
,,794.302,2.046
,,795.170,2.046
,,796.039,2.046
,,796.907,2.046
,,797.775,2.046
,,798.643,2.046
,,799.511,2.046
,,800.379,2.046
,,801.247,2.046
,,802.115,2.046
,,802.983,2.046
,,803.851,2.046
,,804.719,2.046
,,805.588,2.046
,,806.456,2.046
,,807.324,2.046
,,808.192,2.046
,,809.060,2.046
,,809.928,2.046
,,810.796,2.046
,,811.664,2.046
,,812.532,2.046
,,813.400,2.046
,,814.268,2.046
,,815.137,2.046
,,816.005,2.046
,,816.873,2.046
,,817.741,2.046
,,818.609,2.046
,,819.477,2.046
,,820.345,2.046
,,821.213,2.046
,,822.081,2.046
,,822.949,2.046
,,823.817,2.046
,,824.685,2.046
,,825.554,2.046
,,826.422,2.046
,,827.290,2.046
,,828.158,2.046
,,829.026,2.046
,,829.894,2.046
,,830.762,2.046
,,831.630,2.046
,,832.498,2.046
,,833.366,2.046
,,834.234,2.046
,,835.103,2.046
,,835.971,2.046
,,836.839,2.046
,,837.707,2.046
,,838.575,2.046
,,839.443,2.046
,,840.311,2.046
,,841.179,2.046
,,842.047,2.046
,,842.915,2.046
,,843.784,2.046
,,844.652,2.046
,,845.520,2.046
,,846.388,2.046
,,847.256,2.046
,,848.124,2.046
,,848.992,2.046
,,849.860,2.046
,,850.728,2.046
,,851.596,2.046
,,852.464,2.046
,,853.332,2.046
,,854.201,2.046
,,855.069,2.046
,,855.937,2.046
,,856.805,2.046
,,857.673,2.046
,,858.541,2.046
,,859.409,2.046
,,860.277,2.046
,,861.145,2.046
,,862.013,2.046
,,862.881,2.046
,,863.750,2.046
,,864.618,2.046
,,865.486,2.046
,,866.354,2.046
,,867.222,2.046
